ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
13,n,y,y,n,n,n,y,y,y,n,n,n,y,n,unknown,unknown
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
57,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
423,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
130,unknown,unknown,y,n,n,n,y,y,unknown,n,unknown,unknown,unknown,unknown,unknown,unknown
86,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
228,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
388,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,unknown
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
226,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
32,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
371,y,y,y,n,unknown,y,y,y,n,y,unknown,unknown,n,n,y,y
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
146,n,n,y,n,n,y,y,y,y,y,n,n,n,y,unknown,y
372,y,y,y,n,unknown,n,y,y,y,y,n,n,n,n,y,unknown
241,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
7,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
327,y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
410,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
334,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
253,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
296,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
20,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
77,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,unknown
290,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
275,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
234,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
93,y,y,y,n,n,n,y,y,n,y,y,n,n,unknown,y,y
46,y,y,y,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
45,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
162,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
69,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
199,n,n,y,n,n,n,y,y,y,y,y,n,unknown,n,y,unknown
268,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
229,n,y,n,y,y,y,n,n,n,n,n,y,y,unknown,n,y
422,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
355,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
271,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
125,n,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
64,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
117,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
274,n,n,n,y,y,n,y,y,n,y,n,y,y,y,unknown,y
425,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
149,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
165,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
378,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
266,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
17,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
240,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
233,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
73,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
375,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
409,y,n,y,n,n,y,y,y,y,n,n,y,unknown,y,y,y
433,n,unknown,n,y,y,y,n,n,n,n,y,y,y,y,n,y
260,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
90,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
24,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
170,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
377,y,unknown,y,n,n,n,y,y,y,n,y,n,n,n,y,y
81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
186,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
427,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
141,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
189,y,unknown,n,y,y,y,y,y,n,n,n,y,unknown,y,unknown,unknown
193,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
37,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
87,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
225,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
221,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
230,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
191,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
318,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
91,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
256,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
419,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
169,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
353,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
369,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
373,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
89,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
54,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
172,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
84,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
231,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
341,n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
391,unknown,unknown,n,n,unknown,y,unknown,n,n,n,y,y,n,y,n,unknown
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
236,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
263,y,n,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
415,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
262,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
387,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
122,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
364,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
267,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
305,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
349,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,unknown
124,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
320,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
183,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
249,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
257,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
60,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
333,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
311,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
103,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
435,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
326,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
261,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
82,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
370,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
160,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
324,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
312,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
361,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
248,n,y,n,y,y,y,unknown,n,n,n,n,unknown,y,y,n,n
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
358,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
174,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
325,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
67,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
245,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
12,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
14,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
403,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
244,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
329,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
430,y,n,y,n,unknown,n,y,y,y,y,n,y,n,unknown,y,y
200,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
30,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
243,n,n,n,n,y,y,y,n,n,n,n,unknown,n,y,y,y
331,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
18,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
168,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
255,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
204,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
258,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
75,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
106,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
151,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
96,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
129,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
338,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
288,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
112,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
49,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
208,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
310,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
359,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
128,n,unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
